"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3067617,"November 8, 2024",Nevada,Gardnerville,"Short Ct and Pit Rd",0,1,1,0,0,N/A
3065028,"November 6, 2024",Kentucky,"Bowling Green","822 Woodway St",0,2,1,0,0,N/A
3065661,"November 6, 2024",Michigan,Onsted,"500 block of Pentecost Hwy",0,2,1,0,0,N/A
3061656,"November 1, 2024",Georgia,"Valdosta (Remerton)","1923 Baytree Pl",1,1,1,0,9,N/A
3062196,"November 1, 2024",California,"Los Angeles","9217 S Central Ave",0,2,0,1,1,N/A
3061069,"October 30, 2024","New York","West Hempstead","Southern State Pkwy",0,1,0,0,0,N/A
3059947,"October 29, 2024",Georgia,Atlanta,"75 14th St NE",0,1,0,1,1,N/A
3057012,"October 26, 2024",California,Fresno,"S 8th St and E Verrue Ave",1,1,1,0,0,N/A
3052221,"October 21, 2024",Colorado,Denver,"1201 5th St",0,1,0,0,1,N/A
3048064,"October 15, 2024",Colorado,Elizabeth,"175 E Spruce St",0,1,1,0,0,N/A
3048717,"October 15, 2024",Texas,Orange,"N 15th St and W Green Ave",0,1,1,0,0,N/A
3046990,"October 14, 2024",Missouri,Columbia,I-70,0,2,1,0,0,N/A
3047192,"October 14, 2024",Michigan,Detroit,"Davison and St Aubin St",0,2,1,0,0,N/A
3047278,"October 13, 2024","New Mexico",Albuquerque,"Cochiti Rd SE and Britt St SE",0,1,1,0,0,N/A
3047261,"October 12, 2024",Texas,Jacksboro,"12000 block of US-380",0,1,0,0,1,N/A
3045280,"October 11, 2024",Arkansas,Newport,US-67,0,2,1,0,0,N/A
3044460,"October 10, 2024",Florida,Hollywood,"N 66th Terrace and Eaton St",0,1,1,0,0,N/A
3043697,"October 9, 2024",Colorado,Thornton,"16000 block of Columbine St",0,1,1,0,0,N/A
3040092,"October 3, 2024",Texas,Memphis,"221 Robertson St",0,1,0,0,1,N/A
3039371,"October 3, 2024",Illinois,Chicago,"5600 block of S Shields Ave",0,1,0,1,0,N/A
3036731,"September 28, 2024",Ohio,Proctorville,"17 Township Rd 1138",0,1,0,1,1,N/A
3036030,"September 27, 2024",Georgia,Smyrna,"2500 S Cobb Dr",0,2,1,0,0,N/A
3034863,"September 25, 2024",Texas,Danbury,"1000 block of Ave C",0,1,0,0,1,N/A
3033774,"September 25, 2024",Michigan,Detroit,"2400 block of Highland St",0,1,0,0,1,N/A
3033592,"September 24, 2024",Mississippi,"Biloxi (D'iberville)","Rodriguez St and Gorenflo Rd",0,1,0,0,3,N/A
3032252,"September 23, 2024",Alaska,Anchorage,"7122 E 6th Ave",0,3,0,0,1,N/A
3031390,"September 22, 2024","North Carolina",Charlotte,"8925 Nations Ford Rd",0,1,1,0,0,N/A
3032388,"September 21, 2024","District of Columbia",Washington,"32nd St NW and Fessenden St NW",0,1,0,0,0,N/A
3029663,"September 19, 2024",Alabama,Decatur,N/A,0,2,0,0,0,N/A
3029020,"September 19, 2024","South Carolina","Mc Bee","11th St and Pine Ave",0,2,1,0,0,N/A
3028965,"September 19, 2024",Virginia,Richmond,"2300 block of Fairfield Ave",0,1,0,0,1,N/A
3028977,"September 19, 2024",Virginia,Manassas,"Doane Dr",0,1,0,0,0,N/A
3028840,"September 19, 2024",Pennsylvania,Philadelphia,"3901 Whitaker Ave",0,1,0,0,0,N/A
3026377,"September 17, 2024",Texas,Houston,"7100 block of Alderney Dr",0,1,0,0,2,N/A
3025629,"September 16, 2024",Georgia,Atlanta,"3493 Donald Lee Hollowell Parkway",0,1,0,0,0,N/A
3025222,"September 16, 2024",Iowa,"Des Moines","E 24th St and Easton Blvd",0,2,1,0,0,N/A
3024881,"September 15, 2024","New York",Brooklyn,"Sutter Ave and Van Sinderen Ave",0,3,0,1,1,N/A
3025102,"September 14, 2024",Ohio,Portsmouth,"53 Liberty Ave",0,1,0,0,1,N/A
3023137,"September 11, 2024",Georgia,Trion,"919 Allgood St",0,1,0,0,0,N/A
3021277,"September 10, 2024","New Jersey",Paterson,"10 block of Valley Rd",0,1,0,0,0,N/A
3021916,"September 10, 2024","New Jersey",Wayne,"214 Oldham Rd",0,1,0,0,0,N/A
3018524,"September 7, 2024",Colorado,Westminster,"US-36 and Federal Blvd",0,1,1,0,0,N/A
3016430,"September 5, 2024",Wisconsin,Milwaukee,"N 91st St and W Custer Ave",0,3,0,1,1,N/A
3015608,"September 4, 2024",Illinois,Macomb,"300 block of N Normal St",0,2,0,0,1,N/A
3014236,"September 3, 2024",Arizona,Phoenix,"N 15th St and McDowell Rd",1,1,0,0,1,N/A
3015292,"September 3, 2024",California,Modesto,"1300 block of Imperial Ave",0,1,0,0,0,N/A
3009939,"August 30, 2024",Texas,Beaumont,"700 block of Palm St",0,1,1,0,0,N/A
3296837,"August 29, 2024",Virginia,Hampton,"Sergeant St",1,0,0,0,0,N/A
3009565,"August 29, 2024",Texas,Dallas,"907 E Ledbetter Dr",1,3,1,0,0,N/A
3008790,"August 29, 2024",Texas,Princeton,"Dahlia Way and N Princeton Xrds",0,1,0,1,0,N/A
3007278,"August 27, 2024",Georgia,Stockbridge,"404 Linden Ln",0,1,1,0,0,N/A
3007271,"August 27, 2024",Georgia,Eastman,"5000 block of Dodge Ave",0,1,1,0,0,N/A
3003884,"August 23, 2024",Kentucky,Murray,"1300 block of Johnson Blvd",0,1,0,1,1,N/A
3002859,"August 21, 2024",Georgia,Conyers,"1385 Old McDonough Hwy",0,1,1,0,0,N/A
3002931,"August 21, 2024",Illinois,Alton,"2300 block of E Broadway",0,2,1,0,0,N/A
2994435,"August 13, 2024",Arizona,"Tucson (Drexel Heights)","Jeffrey Rd and Camino De Oeste",0,1,0,0,2,N/A
2993055,"August 11, 2024",Texas,Mansfield,N/A,0,1,0,0,1,N/A
2993784,"August 11, 2024",Oklahoma,Colbert,"OK-78 and Camino Dr",0,1,0,1,1,N/A
2998247,"August 10, 2024",California,Chico,"3100 block of Rogue River Dr",0,1,0,0,1,N/A
2991500,"August 10, 2024",Texas,Forney,"5525 FM-741",0,2,1,0,0,N/A
2991288,"August 9, 2024",Virginia,Marion,"VA-16 and Hatchery Dr",1,1,1,0,0,N/A
2990291,"August 8, 2024",Mississippi,Summit,"W Railroad Ave and Baldwin St",1,2,1,0,0,N/A
2990312,"August 8, 2024",Texas,"League City","Glen Cove Blvd",0,1,0,0,1,N/A
2989960,"August 7, 2024",Texas,"Fort Worth","2916 Elinor St",0,1,1,0,0,N/A
2985447,"August 2, 2024",Mississippi,Clarksdale,"201 McGuire Cove",0,1,1,0,0,N/A
2985812,"August 2, 2024",Florida,Eustis,"38144 Brookside Dr",1,2,3,0,0,N/A
2984501,"August 1, 2024","New York","New York (Manhattan)","Delancey St and Eldridge St",0,2,0,0,1,N/A
2982670,"July 30, 2024",Iowa,"Des Moines","E Army Post Rd and SE 45th St",0,1,1,0,0,N/A
2980804,"July 28, 2024",Florida,"Fort Pierce","1166 Bayshore Dr",0,1,1,0,0,N/A
2980807,"July 28, 2024",Texas,"San Antonio","1300 block of Patricia Dr",0,1,1,0,0,N/A
2980273,"July 26, 2024",Indiana,Indianapolis,"3600 block of N Wittfield St",0,1,0,0,2,N/A
2978744,"July 25, 2024",Louisiana,Jeanerette,"2519 Martin Luther King Dr",1,4,0,1,1,N/A
2977519,"July 24, 2024",Pennsylvania,Lancaster,"600 block of E Fulton St",0,1,0,0,1,N/A
2978141,"July 24, 2024","New Jersey",Rahway,"1076 Broad St",0,3,0,0,1,N/A
2976942,"July 24, 2024",Colorado,Thornton,"Gale Blvd and W Thornton Pkwy",0,1,1,0,0,N/A
2977710,"July 23, 2024",Wisconsin,Baraboo,"Water St and Manchester Rd",0,1,1,0,0,N/A
2974165,"July 21, 2024",Alabama,Moody,"2700 block of Ashley Manor",0,1,1,0,0,N/A
2975030,"July 21, 2024",Colorado,"Fort Collins","1900 W Mountain Ave",0,1,1,0,0,N/A
2973005,"July 19, 2024",Tennessee,Cookeville,"I-40 and S Willow Ave",0,1,0,0,1,N/A
2972520,"July 18, 2024","District of Columbia",Washington,"201 N St SW",0,3,0,0,0,N/A
2969139,"July 15, 2024",Tennessee,Madison,"808 Skyline Ridge Dr",0,1,0,1,1,N/A
2965831,"July 10, 2024",Georgia,Morrow,"1869 Mt Zion Rd",0,1,0,1,1,N/A
2963674,"July 8, 2024",Texas,Houston,"6000 block of Hollister St",0,1,0,0,1,N/A
2961586,"July 6, 2024",Virginia,Norfolk,"3800 block of Arcadia St",0,1,0,1,1,N/A
2961407,"July 5, 2024","New Mexico",Albuquerque,"100 Deputy Dean Miera Dr SW",0,1,0,0,0,N/A
2961386,"July 5, 2024",Idaho,"Fort Hall","Batt Ln",0,1,1,0,0,N/A
2958398,"July 4, 2024",Wyoming,"Yellowstone National Park (Mammoth)","41 Clover Ln",0,1,1,0,0,N/A
2958322,"July 3, 2024",California,"Los Angeles","S Broadway and E Rosecrans Ave",0,1,0,0,1,N/A
2956724,"July 2, 2024",Oklahoma,"Oklahoma City","2200 block of W Eubanks St",0,1,1,0,0,N/A
2956139,"July 1, 2024",Arizona,Phoenix,"400 W Southern Ave",0,1,0,0,0,N/A
2954384,"June 30, 2024",Iowa,Waterloo,"1200 block of E 4th St",0,2,1,0,0,N/A
2953245,"June 29, 2024",Illinois,"Chicago Heights (Ford Heights)","Woodlawn Ave and Ambassador Ln",1,1,0,0,0,N/A
2951899,"June 27, 2024",Michigan,Osseo,"Beecher Rd and Lamb Rd",1,0,1,0,0,N/A
2945819,"June 21, 2024",Arkansas,Fordyce,"920 W 4th St",4,9,0,1,1,N/A
2948281,"June 20, 2024","New York",Ogdensburg,"800 Park St",0,1,0,0,0,N/A
2943390,"June 17, 2024",Missouri,Springfield,"1400 block of E Blaine St",0,1,0,0,1,N/A
2941056,"June 15, 2024",Florida,Tampa,"14000 block of Cactus Wren Pl",2,1,1,0,0,N/A
2939673,"June 14, 2024",Texas,Spring,"5310 Slashwood Ln",0,1,0,0,1,N/A
2938765,"June 13, 2024",Virginia,Leesburg,"41450 Shreve Mill Rd",0,1,0,0,0,N/A
2939306,"June 13, 2024",Indiana,"Fort Wayne","4700 block of Holton Ave",0,1,0,1,1,N/A
3256282,"June 13, 2024","New Jersey",Fords,"1050 King Georges Post Rd",0,2,1,0,0,N/A
2939195,"June 13, 2024","New Jersey",Edison,"1050 King Georges Post Rd",0,2,1,0,0,N/A
2937870,"June 12, 2024",Illinois,Dixon,"402 Wild Rice Ln",0,3,0,1,1,N/A
2937134,"June 11, 2024",Tennessee,Rockford,"1105 Jacob Springs Blvd",0,2,0,0,1,N/A
2936346,"June 10, 2024","North Carolina","Oak Ridge","7504 Skippers Trace",0,1,0,1,1,N/A
2932658,"June 6, 2024",Louisiana,"Baton Rouge","5600 block of Robertson Ave",0,2,1,0,0,N/A
2932921,"June 5, 2024",Massachusetts,Springfield,"600 block of State St",0,1,0,0,3,N/A
2931110,"June 4, 2024",Texas,Jasper,"109 Parker Dr",0,1,1,0,0,N/A
2929793,"June 3, 2024","New York","Corona (Queens)","23rd Ave and 82nd St",0,2,0,1,1,N/A
2927825,"June 1, 2024",Arizona,Sacaton,"629 W Moffett Rd",2,4,0,2,2,N/A
2925469,"May 30, 2024",Oklahoma,Tulsa,"9416 E 65th St",0,1,1,0,0,N/A
2925929,"May 30, 2024",Minnesota,Minneapolis,"2221 Blaisdell Ave",3,3,1,0,0,N/A
2927687,"May 29, 2024",Missouri,"Saint Louis","2100 block of Gasconde St",0,1,0,0,0,N/A
2923033,"May 28, 2024",Arizona,Phoenix,"S 10th St and E Southern Ave",0,1,1,0,0,N/A
2921467,"May 26, 2024","North Carolina",Hickory,"534 US-70 SW",0,1,0,1,2,N/A
2921960,"May 24, 2024",Maryland,Baltimore,"3400 block of S Hanover St",0,1,1,0,0,N/A
2919615,"May 24, 2024",Florida,Bradenton,"6305 Cortez Rd W",0,1,0,0,1,N/A
2917703,"May 22, 2024","North Carolina",Wilmington,"915 S 11th Street",0,1,1,0,0,N/A
2918141,"May 22, 2024",Arkansas,"North Little Rock","7000 block of Flintrock Rd",0,1,0,1,1,N/A
2915758,"May 20, 2024","District of Columbia",Washington,"7th St NW and Oglethorpe St NW",0,1,0,0,2,N/A
2913268,"May 18, 2024","North Carolina",Gastonia,"466 S King St",0,1,1,0,0,N/A
2910367,"May 15, 2024","New Mexico",Roswell,"1300 block of N Main St",0,1,1,0,0,N/A
2909223,"May 14, 2024",Texas,"Big Spring","S Monticello St and Barnes Ave",0,1,0,0,1,N/A
2909283,"May 14, 2024","New Mexico",Tucumcari,"4329 Quay Rd 49",0,1,1,0,0,N/A
2907467,"May 12, 2024",Ohio,Columbus,"Georgesville Rd and Clime Rd",0,1,1,0,0,N/A
2906667,"May 11, 2024",Georgia,Atlanta,"1430 Desoto Ave SW",0,3,1,0,0,N/A
2912760,"May 9, 2024",Texas,"La Grange",N/A,0,1,0,0,0,N/A
2904542,"May 8, 2024",Texas,Brownsville,"35 Coahuila Ct",0,1,0,0,1,N/A
2903175,"May 7, 2024",Indiana,Anderson,"2500 Broadway St",0,1,0,1,0,N/A
2901486,"May 5, 2024",Wisconsin,Milwaukee,"W Scott St and S Cesar E Chavez Dr",0,1,0,0,1,N/A
2900856,"May 4, 2024",Washington,"Moses Lake","2822 W Driggs Dr",0,1,0,1,1,N/A
2898523,"May 2, 2024",Alabama,Skyline,"AL-79 and Co Rd 143",0,1,1,0,0,N/A
2898961,"May 2, 2024",California,Colfax,"501 S Auburn St",0,1,1,0,0,N/A
2898503,"May 2, 2024",California,"San Jose","6198 San Ignacio Ave",0,2,0,1,1,N/A
2893900,"April 29, 2024","North Carolina",Charlotte,"5525 Galway Dr",4,4,1,0,0,N/A
2892952,"April 28, 2024",Louisiana,Kenner,"700 block of Farm Ave",0,5,1,0,0,N/A
2893478,"April 27, 2024",Utah,Vernal,"750 N and 400 E",0,1,0,1,1,N/A
2893333,"April 27, 2024","South Carolina",Allendale,"Raysor Rd and Carroll St",0,1,0,0,0,N/A
2892086,"April 27, 2024",Florida,Lakeland,"7036 Green Rd",0,2,1,0,0,N/A
2892632,"April 25, 2024",Texas,Alamo,"423 N Tower Rd",0,1,0,0,0,N/A
2887589,"April 22, 2024",California,"West Covina","E Garvey Ave N and Barranca St",0,1,0,0,1,N/A
2885607,"April 20, 2024","North Carolina",Mooresville,"113 Northampton Dr",0,1,1,0,0,N/A
2885713,"April 20, 2024",Louisiana,"Bossier City",N/A,0,1,0,0,0,N/A
2883607,"April 18, 2024",California,Torrance,"4824 Torrance Blvd",0,1,0,1,1,N/A
2882951,"April 17, 2024",Washington,"Seattle (Tukwila)","16500 Southcenter Pkwy",0,1,1,0,0,N/A
2882868,"April 17, 2024","New York",Albany,"N Main Ave and Western Ave",0,1,1,0,0,N/A
2882785,"April 16, 2024",Georgia,Statesboro,"1400 Statesboro Pl Cir",0,1,0,1,1,N/A
2881136,"April 15, 2024","New Jersey",Montclair,"100 block of Forest St",0,1,0,1,1,N/A
2880593,"April 14, 2024",Florida,Tampa,"4824 Ridge Point Dr",0,1,0,0,1,N/A
2877677,"April 12, 2024",Tennessee,Memphis,"Horn Lake Rd and Charter Ave",1,2,1,1,1,N/A
2878092,"April 10, 2024",Florida,Homestead,"11700 SW 304th St",0,1,0,0,0,N/A
2875786,"April 10, 2024",Michigan,Lansing,"2009 W Holmes Rd",0,2,0,1,1,N/A
2875960,"April 10, 2024",Minnesota,Minnetonka,"13419 E Crestwood Dr",0,2,1,0,0,N/A
2875255,"April 8, 2024",Missouri,"Kansas City","E 46th St and S Benton Ave",0,1,0,0,1,N/A
2872613,"April 6, 2024",Florida,"Miami (Doral)","3450 NW 83rd Ave",1,7,1,0,0,N/A
2875680,"April 3, 2024",Arizona,Scottsdale,"10137 E Osborn Rd",0,4,0,0,0,N/A
2869845,"April 2, 2024","North Carolina",Greenville,"600 Glen Dale Dr",0,1,0,0,1,N/A
2868081,"March 31, 2024",Ohio,"New Philadelphia","8th St NW and Fair Ave",0,1,1,0,0,N/A
2870537,"March 29, 2024","New Jersey",Hammonton,"840 Piney Hollow Rd",0,3,0,0,0,N/A
2866043,"March 29, 2024",Nevada,Sparks,"1400 block of Geenbrae Dr",0,3,1,0,0,N/A
2866640,"March 29, 2024",Arizona,Phoenix,"35th Ave and Southern Ave",0,1,0,0,3,N/A
2860902,"March 24, 2024",Indiana,Indianapolis,"9439 E Washington St",0,5,1,0,0,N/A
2861380,"March 24, 2024",Arkansas,"North Little Rock","2300 block of AR-161",0,1,0,0,1,N/A
2859117,"March 21, 2024",Illinois,Chicago,"3800 block of W Ferdinand St",0,1,1,0,0,N/A
2858575,"March 21, 2024",Florida,"Fort Lauderdale","1500 SE 17th St Cswy",0,1,1,0,0,N/A
2857830,"March 20, 2024",Idaho,Boise,"1055 N Curtis Rd",0,3,0,0,1,N/A
2857761,"March 19, 2024",Arkansas,"Little Rock","4 Durance Ct",0,1,1,0,0,N/A
2857728,"March 19, 2024",Missouri,Forsyth,"US-160 and MO-76",0,1,0,0,1,N/A
2856462,"March 18, 2024",Kentucky,Monticello,"Carters Dock Rd",0,1,1,0,0,N/A
2856746,"March 18, 2024",Massachusetts,Boston,"80 Esmond St",0,1,0,0,1,N/A
2855131,"March 16, 2024",Texas,Mcallen,"S FM 494 and Old Military Hwy",0,1,0,1,1,N/A
2853056,"March 14, 2024",Texas,Dallas,"3200 block of Easter Ave",0,1,0,0,1,N/A
2850608,"March 11, 2024",Illinois,"Oak Lawn","10825 Central Ave",0,1,0,0,1,N/A
2850950,"March 11, 2024",Arkansas,"Hot Springs National Park (Hot Springs)","2000 Albert Pike Rd",0,1,1,0,0,N/A
2849797,"March 10, 2024",Mississippi,Perkinston,"1534 US-49",1,1,1,0,0,N/A
2850237,"March 10, 2024","New Mexico","Santa Fe","2400 block of Vereda De Encanto",0,1,1,1,1,N/A
2848938,"March 8, 2024",Florida,Tallahassee,"2738 N Monroe St",0,1,0,0,1,N/A
2848571,"March 8, 2024",Tennessee,Memphis,"I-240 and S Pkwy E",0,1,0,1,1,N/A
2849044,"March 8, 2024","New Jersey",Trenton,"1800 block of Orchard Ave",0,1,1,0,0,N/A
2844381,"March 4, 2024",California,"Santa Rosa","Stony Point Rd and Todd Rd",0,2,0,1,0,N/A
2843803,"March 3, 2024",Illinois,Chicago,"900 block of N Harding Ave",0,2,0,0,0,N/A
2843628,"March 2, 2024",Florida,"Miami Beach","126 Venetian Way",0,1,0,0,0,N/A
2843174,"March 1, 2024",Minnesota,"Saint Paul","900 block of Euclid St",0,1,0,0,1,N/A
2843014,"March 1, 2024",Mississippi,Meridian,"MS-493 and N Hills St",0,1,1,0,0,N/A
2840998,"February 29, 2024","District of Columbia",Washington,"410 M St SE",0,1,0,0,1,N/A
2841692,"February 29, 2024",Missouri,Independence,"1111 N Elsea Smith Rd",2,2,0,1,1,N/A
2841716,"February 29, 2024","West Virginia","Charleston (Sissonville)","Walker Dr and Applehill Ln",0,1,0,0,1,N/A
2842061,"February 28, 2024",Kentucky,Lexington,"900 block of Royal Ave",0,1,0,0,3,N/A
2838309,"February 23, 2024",Montana,"Great Falls","77 Wexford Ln",0,1,1,0,0,N/A
2833400,"February 19, 2024",Alabama,Mobile,"12251 Tanner Williams Rd",0,1,0,0,0,N/A
2832334,"February 18, 2024",Minnesota,Burnsville,"12605 33rd Ave",3,1,1,0,0,N/A
2832118,"February 17, 2024",Pennsylvania,Chester,"W 14th and Arbor Dr",0,2,1,0,0,N/A
2830670,"February 16, 2024",California,"Los Angeles","13206 Paxton St",0,1,0,0,1,N/A
2832015,"February 16, 2024",Washington,Kent,"Willis St and Washington Ave",0,1,0,0,1,N/A
2829856,"February 15, 2024",Michigan,"Battle Creek","62 E Michigan Ave",0,1,1,0,0,N/A
2828313,"February 14, 2024","District of Columbia",Washington,"5032 Hanna Pl SE",0,3,0,0,1,N/A
2828840,"February 14, 2024",Maine,Minot,"1089 Woodman Hill Rd",0,1,0,0,1,N/A
2828784,"February 14, 2024",Missouri,"Saint Louis","3900 block of N Broadway",0,1,0,0,0,N/A
2829013,"February 13, 2024",Illinois,Chillicothe,"N Finney St and Matthews St",0,1,1,0,0,N/A
2826539,"February 11, 2024",Ohio,Ontario,"1019 Landings Ct",0,2,0,0,1,N/A
2825172,"February 9, 2024",California,"Temple City","8838 E Las Tunas Dr",0,1,0,0,0,N/A
2824843,"February 9, 2024",Ohio,Youngstown,"Firnley Ave and Ravenwood Ave",0,1,0,0,0,N/A
2823874,"February 8, 2024",Tennessee,Maryville,"4900 block of Sevierville Rd",1,1,0,0,1,N/A
2822476,"February 7, 2024",Louisiana,Shreveport,"8200 Pines Rd",0,1,1,0,0,N/A
2822404,"February 7, 2024",Pennsylvania,"Lansdowne (East Lansdowne)","58 Lewis Ave",4,2,1,0,0,N/A
2822185,"February 6, 2024",Illinois,"Granite City","2400 block of Delmar Ave",0,1,1,0,0,N/A
2818628,"February 2, 2024",Nevada,"Las Vegas","N US-95 and E Charleston Blvd",0,1,0,0,1,N/A
2818923,"February 2, 2024",Nebraska,Kearney,"10 E 31st St",0,1,0,0,1,N/A
2818897,"February 2, 2024",Oklahoma,Gracemont,N/A,0,2,0,1,0,N/A
2818325,"February 1, 2024",Mississippi,Meridian,"510 22nd Ave",0,1,0,1,1,N/A
2816066,"January 31, 2024",Pennsylvania,Philadelphia,"1300 block of King Pl",0,1,0,0,1,N/A
2813433,"January 28, 2024",Florida,"Palm Bay","473 Forgal Ave",3,2,1,0,0,N/A
2814424,"January 28, 2024",Tennessee,Ooltewah,"I-75 and US-64",0,2,1,0,0,N/A
2812423,"January 26, 2024",Pennsylvania,Philadelphia,"2859 N Mascher St",0,1,1,0,0,N/A
2811033,"January 24, 2024",California,"Union City","33370 Dowe Ave",1,1,1,0,0,N/A
2810835,"January 24, 2024",Missouri,Clarence,"MO-151 and US-36 BUS",0,1,0,1,1,N/A
2809503,"January 23, 2024",Indiana,Martinsville,"7000 block of Beech Grove Rd",0,1,1,0,0,N/A
2808945,"January 22, 2024","Rhode Island",Cranston,"18 Slate Hill Dr",0,1,0,0,0,N/A
2807390,"January 20, 2024",Massachusetts,Wilbraham,"Old Carriage Dr",0,1,0,1,1,N/A
2805295,"January 18, 2024",California,Dinuba,"Kern St and I St",0,1,0,1,1,N/A
2803984,"January 17, 2024",Florida,Miami,"22291 SW 162nd Ave",0,2,1,0,0,N/A
2803301,"January 16, 2024","New York",Brooklyn,"1969 Bergen St",0,2,0,1,0,N/A
2802092,"January 14, 2024",Alabama,"Pleasant Grove","400 block of 5th Way",0,1,0,1,0,N/A
2801819,"January 14, 2024","New York",Rochester,"709 Garfield St",0,1,0,1,1,N/A
2801040,"January 13, 2024",Texas,"San Antonio","8200 block of Marbach Rd",0,1,1,0,0,N/A
2800767,"January 11, 2024",Illinois,Quincy,"Third St and Elm St",0,1,1,0,0,N/A
2800007,"January 11, 2024",Michigan,Detroit,"12900 block of Burt Rd",0,1,0,1,1,N/A
2799500,"January 11, 2024",Pennsylvania,Scranton,"500 block of Hyde Pk",0,1,0,1,1,N/A
2798483,"January 9, 2024",Illinois,Chicago,"7200 block of S Spaulding Ave",0,1,0,0,0,N/A
2796755,"January 8, 2024",Illinois,Chicago,"30 E Oak St",0,1,0,1,1,N/A
2795776,"January 5, 2024",Arizona,Peoria,"8425 W Bell Rd",0,1,1,0,0,N/A
2794744,"January 3, 2024",Pennsylvania,Monroeville,"Monroeville Blvd and Stonecliffe Dr",0,1,0,0,1,N/A
2792522,"January 2, 2024",Wisconsin,Milwaukee,"1818 W Fairmount Ave",0,1,0,0,1,N/A
2793791,"January 2, 2024",Florida,"Fort Lauderdale","200 block of NW 22nd St",0,1,0,1,1,N/A
2792127,"January 1, 2024",Hawaii,Honolulu,"1400 block of University Ave",0,3,1,0,0,N/A
2790578,"December 30, 2023","New Mexico",Albuquerque,"7817 Central Ave NE",0,1,0,1,0,N/A
2789784,"December 29, 2023",Massachusetts,Fairhaven,"125 Sconticut Neck Rd",0,1,1,0,0,N/A
2789612,"December 28, 2023","New Jersey",Iselin,"Garden State Pkwy and Wood Ave",0,1,1,0,0,N/A
2788659,"December 27, 2023","New York",Bronx,"1161 E 225th St",0,1,0,0,0,N/A
2785433,"December 23, 2023",Texas,Humble,"2402 Cactus Bend Dr",0,1,0,1,0,N/A
2785365,"December 21, 2023",Arizona,Tucson,"9000 block of N Kanawha St",0,2,0,1,1,N/A
2782562,"December 20, 2023",Florida,Deltona,"3230 Whitehorse Ct",0,1,0,0,1,N/A
2784571,"December 20, 2023",Colorado,Denver,"85 Leona Dr",0,1,1,0,0,N/A
2781350,"December 17, 2023","West Virginia",Martinsburg,"117 Connell St",0,2,1,0,0,N/A
2779716,"December 15, 2023",Tennessee,Trenton,"100 block of Eldad Rd",0,1,0,1,0,N/A
2779445,"December 15, 2023",Oregon,"Grants Pass","US-199 and Allen Creek Rd",0,1,1,0,0,N/A
2778649,"December 14, 2023","New York","New York (Manhattan)","Eldridge St and Stanton St",0,1,1,0,0,N/A
